通番号,公示年度,スキーム,分野,調査・事業名,提案法人名,代表法人所在地,外部人材（コンサルティング企業）,対象国
321,2012,普及・実証・ビジネス化事業（中小企業支援型）,保健医療,ICTを駆使した医療連携技術協力型普及・実証事業,ViewSend ICT株式会社,東京都,システム科学コンサルタンツ株式会社,ベトナム
,,,,,,,,
,,,,,,,,
322,2018,普及・実証・ビジネス化事業（中小企業支援型）,保健医療,分娩監視装置及び集中監視システム導入を通じた周産期医療の質の改善のための普及・実証事業,トーイツ株式会社,東京都,株式会社コーエイリサーチ&コンサルティング,モンゴル
323,2019,普及・実証・ビジネス化事業（中小企業支援型）,保健医療,医療画像システムを活用した診療技術の高度化と遠隔読影に関する普及・実証・ビジネス化事業,PSP株式会社,東京都,【契約交渉中】,カンボジア
324,2019,普及・実証・ビジネス化事業（中小企業支援型）,保健医療,急性期疾患の救命率を向上させる遠隔診断医療ネットワークシステムの普及・実証・ビジネス化事業【アフリカ課題提示型】,株式会社アルム,東京都,【契約交渉中】,ルワンダ
325,2020,普及・実証・ビジネス化事業（中小企業支援型）,保健医療,薬剤師継続教育及び国家試験開発事業普及・実証・ビジネス化事業,株式会社薬ゼミ情報教育センター,東京都,【契約交渉中】,キルギス
326,2013,普及・実証・ビジネス化事業（中小企業支援型）,教育,児童・生徒中心の学習を支援する理科教材の普及・実証事業,株式会社ナリカ,東京都,株式会社アイリンク,ケニア
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
327,2014,普及・実証・ビジネス化事業（中小企業支援型）,教育,産学連携によるeラーニングを活用した子供たちの数学の学力達成度強化のための普及・実証事業,株式会社すららネット,東京都,株式会社アプライドマネージメント、株式会社小河教育研究所、国際航業株式会社,インドネシア
,,,,,,,,
,,,,,,,,
328,2014,普及・実証・ビジネス化事業（中小企業支援型）,教育,設計エンジニア育成eラーニングシステムを中心とした産学連携教育プログラムの普及・実証事業,株式会社シーイー・フォックス,東京都,グローバルリンクマネージメント株式会社,タイ
329,2017,普及・実証・ビジネス化事業（中小企業支援型）,教育,初等算数教育へのICT活用による教育の質向上を目的とした普及・実証事業,株式会社さくら社,東京都,株式会社アイリンク,ルワンダ
330,2018,普及・実証・ビジネス化事業（中小企業支援型）,教育,地方学校教員の能力向上及び教育格差是正向け学習管理システム(LMS)に係る普及・実証・ビジネス化事業,株式会社デジタル・ナレッジ,東京都,株式会社片平エンジニアリング・インターナショナル,ウズベキスタン
331,2019,普及・実証・ビジネス化事業（中小企業支援型）,教育,アプリ教材「Think!Think!」の活用による初等教育のSTEM学力向上に関わる普及・実証・ビジネス化事業【中堅企業枠】,ワンダーラボ株式会社,東京都,"クロゴ株式会社、ロコモ株式会社(LOCOMO Co., Ltd.)",カンボジア
332,2019,普及・実証・ビジネス化事業（中小企業支援型）,教育,算数教育における児童の基礎学力を保障する学校教材の普及・実証・ビジネス化事業【アフリカ課題提示型】,株式会社日本標準,東京都,【契約交渉中】,モロッコ
333,2013,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,プラスチック製雨水貯留浸透施設の普及・実証事業,秩父ケミカル株式会社,東京都,日本工営株式会社、日本テクノ株式会社,インドネシア
,,,,,,,,
,,,,,,,,
334,2014,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,薬液注入技術を用いた地盤改良工法の普及・実証事業,東曹産業株式会社,東京都,日本テクノ株式会社,インドネシア
,,,,,,,,
335,2015,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,斜面防災技術(ユニット式金網型枠による吹付法枠工)の普及・実証事業,小岩金網株式会社,東京都,株式会社地球システム科学,スリランカ
,,,,,,,,
336,2015,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,道路法面災害対策技術(グラウンドアンカー工法)の普及・実証事業,株式会社エスイー,東京都,株式会社地球システム科学、川崎地質株式会社,ベトナム
,,,,,,,,
337,2018,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,浸水被害の軽減に寄与するプラスチック製雨水貯留構造体の普及・実証・ビジネス化事業(中小企業支援型),秩父ケミカル株式会社,東京都,株式会社かいはつマネジメント・コンサルティング,タイ
338,2013,普及・実証・ビジネス化事業（中小企業支援型）,その他,海上保安強化を目的とした船舶搭載24時間監視カメラシステム普及・実証事業,海洋総合開発株式会社,東京都,EYアドバイザリー株式会社,マレーシア
,,,,,,,,
,,,,,,,,
339,2018,普及・実証・ビジネス化事業（中小企業支援型）,その他,先進的軌道保全技術(座屈防止板)導入による脱線等の軌道事故を防止するための普及・実証事業【インフラ整備技術推進特別枠】,林総事株式会社,東京都,【契約交渉中】,南アフリカ共和国
340,2018,普及・実証・ビジネス化事業（中小企業支援型）,その他,空港における低層風情報提供システム(SOLWIN)の普及・実証・ビジネス化事業【1.5億円枠】,株式会社ソニック,東京都,【契約交渉中】,フィリピン
341,2012,基礎調査,環境・エネルギー,電動バイク販売事業調査(中小企業連携促進),Terra Motors株式会社、クオンタムリープ株式会社 共同企業体,東京都,(なし),ベトナム
342,2015,基礎調査,環境・エネルギー,エコトイレ導入による衛生環境改善事業にかかる基礎調査,株式会社エクセルシア,東京都,株式会社レックス・インターナショナル、株式会社栗田マーケティング・アンド・マネジメント,モンゴル
,,,,,,,,
,,,,,,,,
343,2016,基礎調査,環境・エネルギー,無焼成レンガの生産を可能とする無機質強化材導入の基礎調査,株式会社エイケン、京浜蓄電池工業株式会社 共同企業体,東京都,マイクライメイトジャパン株式会社、特定非営利活動法人地球環境対策研究支援機構,バングラデシュ
,,,,,,,,
,,,,,,,,
344,2016,基礎調査,環境・エネルギー,遮熱塗料の活用を通じたCO2削減事業にかかる基礎調査,SCI-PAINT JAPAN株式会社,東京都,ＡＡＩ株式会社,インドネシア
,,,,,,,,
,,,,,,,,
345,2015,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,斜面防災技術(ユニット式金網型枠による吹付法枠工)の普及・実証事業,小岩金網株式会社,東京都,株式会社地球システム科学,スリランカ
,,,,,,,,
346,2015,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,道路法面災害対策技術(グラウンドアンカー工法)の普及・実証事業,株式会社エスイー,東京都,株式会社地球システム科学、川崎地質株式会社,ベトナム
,,,,,,,,
347,2018,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,浸水被害の軽減に寄与するプラスチック製雨水貯留構造体の普及・実証・ビジネス化事業(中小企業支援型),秩父ケミカル株式会社,東京都,株式会社かいはつマネジメント・コンサルティング,タイ
348,2013,普及・実証・ビジネス化事業（中小企業支援型）,その他,海上保安強化を目的とした船舶搭載24時間監視カメラシステム普及・実証事業,海洋総合開発株式会社,東京都,EYアドバイザリー株式会社,マレーシア
,,,,,,,,
,,,,,,,,
349,2018,普及・実証・ビジネス化事業（中小企業支援型）,その他,先進的軌道保全技術(座屈防止板)導入による脱線等の軌道事故を防止するための普及・実証事業【インフラ整備技術推進特別枠】,林総事株式会社,東京都,【契約交渉中】,南アフリカ共和国
350,2018,普及・実証・ビジネス化事業（中小企業支援型）,その他,空港における低層風情報提供システム(SOLWIN)の普及・実証・ビジネス化事業【1.5億円枠】,株式会社ソニック,東京都,【契約交渉中】,フィリピン
351,2012,基礎調査,環境・エネルギー,電動バイク販売事業調査(中小企業連携促進),Terra Motors株式会社、クオンタムリープ株式会社 共同企業体,東京都,(なし),ベトナム
352,2015,基礎調査,環境・エネルギー,エコトイレ導入による衛生環境改善事業にかかる基礎調査,株式会社エクセルシア,東京都,株式会社レックス・インターナショナル、株式会社栗田マーケティング・アンド・マネジメント,モンゴル
,,,,,,,,
,,,,,,,,
353,2016,基礎調査,環境・エネルギー,無焼成レンガの生産を可能とする無機質強化材導入の基礎調査,株式会社エイケン、京浜蓄電池工業株式会社 共同企業体,東京都,マイクライメイトジャパン株式会社、特定非営利活動法人地球環境対策研究支援機構,バングラデシュ
,,,,,,,,
,,,,,,,,
354,2016,基礎調査,環境・エネルギー,遮熱塗料の活用を通じたCO2削減事業にかかる基礎調査,SCI-PAINT JAPAN株式会社,東京都,ＡＡＩ株式会社,インドネシア
,,,,,,,,
,,,,,,,,
355,2019,基礎調査,水の浄化・水処理,電子マネーを用いた持続可能な給水システムに関する基礎調査【アフリカ課題提示型】【途上国発イノベーション】,鉱研工業株式会社,東京都,【契約交渉中】,マラウイ
356,2015,基礎調査,職業訓練・産業育成,実践的工業基礎技術の習得を目的とした人材育成事業にかかる基礎調査,株式会社TOMONARI,東京都,株式会社国際開発センター,カンボジア
,,,,,,,,
,,,,,,,,
357,2016,基礎調査,職業訓練・産業育成,キリント工業団地日系企業ゾーン開発運営のための基礎調査,株式会社トモニアス,東京都,株式会社ワールドビジネスアソシエイツ,エチオピア
,,,,,,,,
,,,,,,,,
358,2016,基礎調査,職業訓練・産業育成,日系アパレル企業のOEM生産を対象とした品質管理・検品事業に係る基礎調査,株式会社ティーズネットワーク,東京都,一般財団法人国際開発機構,エチオピア
,,,,,,,,
,,,,,,,,
359,2018,基礎調査,職業訓練・産業育成,ソフトスキル研修プログラム及びトレーナー養成による産業人材育成に関する基礎調査,株式会社ピープルフォーカス・コンサルティング,東京都,株式会社オリナス・パートナーズ,カンボジア
360,2018,基礎調査,職業訓練・産業育成,ラセッテーなめし技法を活用したレザーのブランド化に関する基礎調査,山口産業株式会社,東京都,株式会社アルメックVPI、有限会社エクシディア、国際航業株式会社,モンゴル
,,,,,,,,
361,2019,基礎調査,職業訓練・産業育成,イノベーション創出に向けたBtoBマッチングプラットフォーム事業のための基礎調査,レックスバート・コミュニケーションズ株式会社,東京都,【契約交渉中】,ルワンダ
362,2019,基礎調査,職業訓練・産業育成,産業競争力強化のための日本語IT技術者育成事業に関する基礎調査,株式会社Sun Asterisk,東京都,【契約交渉中】,ブラジル
363,2013,基礎調査,福祉,視覚障害者向け福祉機器ビジネスに関する事業調査(中小企業連携促進),株式会社日本テレソフト、三井共同建設コンサルタント株式会社 共同企業体,東京都,(なし),ベトナム
364,2012,基礎調査,農業,精米工場を対象とした籾殻発電技術と事業化スキームのパッケージサービス展開事業調査(中小企業連携促進),株式会社EJビジネス・パートナーズ、株式会社エイト日本技術開発 共同企業体,東京都,(なし),カンボジア
365,2013,基礎調査,農業,熱帯地域用小農普及型グリーンハウス事業調査(中小企業連携促進),東都興業株式会社、株式会社日本開発政策研究所 共同企業体,東京都,(なし),カンボジア
366,2016,基礎調査,農業,コーヒー豆の管理プロセス導入による品質向上および高単価商品開発を目的とした基礎調査,株式会社トラディショナルデザイン,東京都,一般財団法人日本品質保証機構(JQA),ルワンダ
,,,,,,,,
,,,,,,,,
367,2017,基礎調査,農業,アチェ州漁業コミュニティにおける可搬型ソーラー冷却システムの活用にかかる基礎調査,東京太陽光建材株式会社,東京都,(なし),インドネシア
,,,,,,,,
368,2019,基礎調査,農業,バナナの茎を活用した持続可能なパルプ事業基礎調査【アフリカ課題提示型】【途上国発イノベーション】,株式会社ワンプラネット・カフェ,東京都,【契約交渉中】,ザンビア
369,2019,基礎調査,農業,気象情報を活用した農家の生産性向上のための基礎調査【アフリカ課題提示型】,株式会社ライフビジネスウェザー,東京都,【契約交渉中】,ケニア
370,2020,基礎調査,農業,余剰水力発電を活用した現地肥料生産の基礎調査,つばめBHB株式会社,東京都,【契約交渉中】,ラオス
371,2013,基礎調査,保健医療,セルフ健康チェックサービス事業調査(中小企業連携促進),ケアプロ株式会社、株式会社チェンジ 共同企業体,東京都,(なし),インド
372,2016,基礎調査,保健医療,衛生的な母乳育児の実現による乳児の栄養改善に関する事業の基礎調査,株式会社誠や,東京都,有限会社アイエムジー,パキスタン
,,,,,,,,
,,,,,,,,
373,2017,基礎調査,保健医療,社会保障を補完するマイクロインシュランス事業にかかる基礎調査,株式会社FREE PEACE,東京都,カーボンフリーコンサルティング株式会社,カンボジア
,,,,,,,,
,,,,,,,,
374,2018,基礎調査,保健医療,医療廃棄物の分散処理体制構築に向けた小型焼却炉導入による保健衛生向上に係る基礎調査,株式会社ステラ環境,東京都,国際航業株式会社,セネガル
,,,,,,,,
375,2019,基礎調査,保健医療,ウェアラブル手術照明導入による医療向上のための基礎調査【アフリカ課題提示型】,太陽商事株式会社,東京都,【契約交渉中】,ガーナ
376,2020,基礎調査,保健医療,地方の初期診療向上のためのモバイル超音波診断装置導入促進に係る基礎調査,日本シグマックス株式会社,東京都,【契約交渉中】,インドネシア
377,2020,基礎調査,保健医療,眼科用遠隔診断サービス導入に向けた基礎調査,株式会社MITAS Medical,東京都,【契約交渉中】,カンボジア
378,2015,基礎調査,教育,IT人材育成の可能性の基礎調査,オー・エイ・エス株式会社、株式会社インフォテック・サーブ、株式会社ポータス 共同企業体,東京都,(なし),ミャンマー
,,,,,,,,
,,,,,,,,
379,2016,基礎調査,防災・災害対策,日本式駐車場開発技術導入事業のための基礎調査,株式会社リレーションズ,東京都,株式会社ケンドマネジメント,メキシコ
,,,,,,,,
,,,,,,,,
380,2018,基礎調査,防災・災害対策,漏水を防ぐコンクリート補修材の販売に関する基礎調査,株式会社繕、日本プロロング株式会社 共同企業体,東京都,(なし),フィリピン
,,,,,,,,
381,2018,基礎調査,防災・災害対策,防災情報提供サービス事業にかかる基礎調査,アールシーソリューション株式会社,東京都,アビームコンサルティング株式会社,インドネシア
,,,,,,,,
382,2012,基礎調査,その他,3PL事業による企業・最終消費者への「安心・安全な物流インフラストラクチャー」提供事業調査(中小企業連携促進),月島倉庫株式会社、株式会社フォーバル 共同企業体,東京都,(なし),ベトナム
383,2012,基礎調査,その他,ハイエンド計測器校正及びその関連事業調査(中小企業連携促進),MTAジャパン株式会社、株式会社国際開発センター 共同企業体,東京都,(なし),マレーシア
384,2016,基礎調査,その他,現地で開発された経営情報システムによるマイクロファイナンス機関の経営能力強化事業基礎調査,株式会社日本ブレーン,東京都,有限会社アイエムジー,ミャンマー
,,,,,,,,
,,,,,,,,
385,2017,基礎調査,その他,都市犯罪防止の為の顔認証・感情解析AI/IoTソリューション導入基礎調査,株式会社アロバ,東京都,BBBR Ltda.,ブラジル
,,,,,,,,
386,2018,基礎調査,その他,ビエンチャン市バス及び歩行者優先信号導入と維持管理継続性に関する基礎調査,交通システム電機株式会社,東京都,株式会社片平エンジニアリング・インターナショナル,ラオス
,,,,,,,,
387,2020,基礎調査,その他,ルワンダ国クラウド型勤怠管理・給与計算システムに基づく持続的な地域経済社会サービス事業にかかる基礎調査,キズナジャパン株式会社、ドレミング株式会社 共同企業体,東京都,【契約交渉中】,ルワンダ
389,2009,協力準備調査（PPPインフラ事業）,環境・エネルギー,ソンハウ1 石炭火力発電事業およびその周辺インフラ事業準備調査(PPPインフラ事業),住友商事株式会社,東京都,-,ベトナム
,,,,,,,,
390,2011,協力準備調査（PPPインフラ事業）,環境・エネルギー,スマトラ島及びスラウェシ島における小水力発電事業準備調査(PPPインフラ事業),株式会社インダストリアル・ディシジョンズ、北電総合設計株式会社 共同企業体,東京都,-,インドネシア
,,,,,,,,
391,2011,協力準備調査（PPPインフラ事業）,環境・エネルギー,輸入石炭中継基地事業準備調査(PPPインフラ事業),住友商事株式会社、日本工営株式会社 共同企業体,東京都,-,ベトナム
,,,,,,,,
392,2012,協力準備調査（PPPインフラ事業）,環境・エネルギー,トゥズラ7号機石炭火力発電事業準備調査(PPPインフラ事業),株式会社日立製作所、プライスウォーターハウスクーパース株式会社 共同企業体,東京都,-,ボスニア・ヘルツェゴビナ
,,,,,,,,
,,,,,,,,
393,2013,協力準備調査（PPPインフラ事業）,環境・エネルギー,フルメン風力発電事業準備調査(PPPインフラ事業),SBエナジー株式会社、株式会社みずほコーポレート銀行、みずほ総合研究所株式会社、MHIプラントエンジニアリング株式会社 共同企業体,東京都,-,モンゴル
,,,,,,,,
,,,,,,,,
394,2013,協力準備調査（PPPインフラ事業）,環境・エネルギー,南アグサン州ワワ川小水力発電事業準備調査(PPPインフラ事業),株式会社長大、株式会社インダストリアル・ディシジョンズ、新日本有限責任監査法人、基礎地盤コンサルタンツ株式会社 共同企業体,東京都,-,フィリピン
,,,,,,,,
,,,,,,,,
395,2013,協力準備調査（PPPインフラ事業）,環境・エネルギー,工業団地スマートコミュニティ運営事業準備調査(PPPインフラ事業),富士電機株式会社、株式会社InterAct、パシフィックコンサルタンツ株式会社、株式会社オリエンタルコンサルタンツ 共同企業体,東京都,-,タイ
,,,,,,,,
,,,,,,,,
396,2014,協力準備調査（PPPインフラ事業）,環境・エネルギー,マタバリ地区輸入石炭ターミナル建設・運営事業準備調査(PPPインフラ事業),住友商事株式会社、日本工営株式会社、東京電力株式会社 共同企業体,東京都,-,バングラデシュ
,,,,,,,,
,,,,,,,,
397,2014,協力準備調査（PPPインフラ事業）,環境・エネルギー,北スマトラ州小水力事業準備調査(PPPインフラ事業),日本工営株式会社,東京都,-,インドネシア
,,,,,,,,
,,,,,,,,
398,2009,協力準備調査（PPPインフラ事業）,廃棄物処理,西ジャワ州廃棄物複合中間処理施設・最終処分場・運営事業準備調査(PPPインフラ事業),株式会社パデコ、鹿島建設株式会社、清水建設株式会社、株式会社長大、日揮株式会社、前田建設工業株式会社、三井造船株式会社、八千代エンジニヤリング株式会社、株式会社九電工、大成建設株式会社 共同企業体,東京都,-,インドネシア
,,,,,,,,
399,2010,協力準備調査（PPPインフラ事業）,廃棄物処理,ハノイ市エンサ処理場整備事業準備調査(PPPインフラ事業),オリックス株式会社、日本ヘルス工業株式会社、プライスウォーターハウスクーパース株式会社 共同企業体,東京都,-,ベトナム
,,,,,,,,
,,,,,,,,
,,,,,,,,
340,2011,協力準備調査（PPPインフラ事業）,廃棄物処理,ダナン市環境インフラ整備事業準備調査(PPPインフラ事業),株式会社エックス都市研究所、株式会社日水コン、株式会社イーツーエンジニアリング、住友商事株式会社、JFEエンジニアリング株式会社、月島機械株式会社 共同企業体,東京都,-,ベトナム
,,,,,,,,
341,2009,協力準備調査（PPPインフラ事業）,水の浄化・水処理,ハノイ都市圏水道PPPドン河事業準備調査(PPPインフラ事業),メタウォーター株式会社、株式会社クボタ、株式会社東京設計事務所、プライスウォーターハウスクーパース株式会社 共同企業体,東京都,-,ベトナム
,,,,,,,,
342,2009,協力準備調査（PPPインフラ事業）,水の浄化・水処理,南バリ再生水利用事業準備調査(PPPインフラ事業),豊田通商株式会社、株式会社日水コン、メタウォーター株式会社 共同企業体,東京都,-,インドネシア
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
343,2009,協力準備調査（PPPインフラ事業）,水の浄化・水処理,大都市圏上下水道PPP事業準備調査(PPPインフラ事業),住友商事株式会社、株式会社NJS コンサルタンツ、東京水道サービス株式会社、東京都下水道サービス株式会社 共同企業体,東京都,-,マレーシア
,,,,,,,,
344,2009,協力準備調査（PPPインフラ事業）,水の浄化・水処理,環境配慮型工業団地ユーティリティ運営事業準備調査(PPPインフラ事業),株式会社ワールド・リンク・ジャパン、株式会社野村総合研究所 共同企業体,東京都,-,ベトナム
,,,,,,,,
345,2010,協力準備調査（PPPインフラ事業）,水の浄化・水処理,ジャカルタ特別州下水処理場整備事業準備調査(PPPインフラ事業),オリックス株式会社、株式会社オリエンタルコンサルタンツ、株式会社日水コン、日本工営株式会社、日本ヘルス工業株式会社、横浜ウォーター株式会社、株式会社パデコ 共同企業体,東京都,-,インドネシア
,,,,,,,,
,,,,,,,,
,,,,,,,,
346,2011,協力準備調査（PPPインフラ事業）,水の浄化・水処理,カントー市上水道整備事業準備調査(PPPインフラ事業),日本工営株式会社、水ing株式会社、三菱商事株式会社 共同企業体,東京都,-,ベトナム
,,,,,,,,
,,,,,,,,
,,,,,,,,
347,2011,協力準備調査（PPPインフラ事業）,水の浄化・水処理,ダナン市ホアリエン上水道整備事業準備調査(PPPインフラ事業),鹿島建設株式会社、株式会社日立プラントテクノロジー、横浜ウォーター株式会社、一般社団法人海外水循環システム協議会、オリジナル設計株式会社 共同企業体,東京都,-,ベトナム
,,,,,,,,
348,2011,協力準備調査（PPPインフラ事業）,水の浄化・水処理,ビンズオン省北部新都市・工業地域上水道整備事業準備調査(PPPインフラ事業),株式会社日立製作所、株式会社日立プラントテクノロジー、株式会社日水コン 共同企業体,東京都,-,ベトナム
,,,,,,,,
349,2011,協力準備調査（PPPインフラ事業）,水の浄化・水処理,マニラ首都圏西地区上下水道整備事業準備調査(PPPインフラ事業),日本工営株式会社、丸紅株式会社、株式会社コーエイ総合研究所 共同企業体,東京都,-,フィリピン
350,2017,協力準備調査（PPPインフラ事業）,水の浄化・水処理,バンダマ川浄水場建設・運営事業準備調査(PPPインフラ事業),三菱商事株式会社、Metito(補強)、Clifford Chance(再委託)、KPMG(再委託),東京都,-,コートジボワール
,,,,,,,,
351,2011,協力準備調査（PPPインフラ事業）,農業,尿素肥料工場整備事業準備調査(PPPインフラ事業),住友商事株式会社、株式会社オリエンタルコンサルタンツ、東洋エンジニアリング株式会社 共同企業体,東京都,-,モザンビーク
,,,,,,,,
352,2011,協力準備調査（PPPインフラ事業）,農業,肥料工場建設及び物流ターミナル整備事業準備調査(PPPインフラ事業),ユニコインターナショナル株式会社、三井物産株式会社、東洋エンジニアリング株式会社 共同企業体,東京都,-,イラク
,,,,,,,,
353,2012,協力準備調査（PPPインフラ事業）,農業,西カリマンタン州植林・林産加工事業準備調査(PPPインフラ事業),住友林業株式会社、日本工営株式会社 共同企業体,東京都,-,インドネシア
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
354,2013,協力準備調査（PPPインフラ事業）,保健医療,外来手術センター・病院開発事業準備調査(PPPインフラ事業),三菱商事株式会社、プライスウォーターハウスクーパース株式会社、株式会社梓設計 共同企業体,東京都,-,フィリピン
,,,,,,,,
,,,,,,,,
355,2014,協力準備調査（PPPインフラ事業）,保健医療,アイドゥン県における国立総合病院整備事業準備調査(PPPインフラ事業),前田建設工業株式会社、アイテック株式会社、株式会社LSIメディエンス 共同企業体,東京都,-,トルコ
,,,,,,,,
,,,,,,,,
356,2009,協力準備調査（PPPインフラ事業）,運輸交通,マニラ首都圏南北連結高速道路PPP事業準備調査(PPPインフラ事業),株式会社オリエンタルコンサルタンツ、中日本高速道路株式会社、西日本高速道路株式会社、株式会社建設技研インターナショナル、伊藤忠商事株式会社 共同企業体,東京都,-,フィリピン
,,,,,,,,
357,2009,協力準備調査（PPPインフラ事業）,運輸交通,ロンタイン新国際空港建設事業準備調査(PPPインフラ事業),株式会社日本空港コンサルタンツ、成田国際空港株式会社、三菱商事株式会社、大成建設株式会社 共同企業体,東京都,-,ベトナム
,,,,,,,,
358,2010,協力準備調査（PPPインフラ事業）,運輸交通,ウランバートル市都市交通建設事業準備調査(PPPインフラ事業),バリュープランニング・インターナショナル株式会社、株式会社アルメック、丸紅株式会社、日揮株式会社、株式会社オリエンタルコンサルタンツ 共同企業体,東京都,-,モンゴル
,,,,,,,,
359,2010,協力準備調査（PPPインフラ事業）,運輸交通,チュンルオン～ミートゥワン高速道路建設事業準備調査(PPPインフラ事業),日本工営株式会社、丸紅株式会社、株式会社コーエイ総合研究所 共同企業体,東京都,-,ベトナム
,,,,,,,,
360,2010,協力準備調査（PPPインフラ事業）,運輸交通,ハノイ市ファッヴァン-カウゼー高速道路PPP 事業準備調査(PPPインフラ事業),株式会社片平エンジニアリング・インターナショナル、中日本高速道路株式会社、伊藤忠商事株式会社 共同企業体,東京都,-,ベトナム
,,,,,,,,
,,,,,,,,
361,2010,協力準備調査（PPPインフラ事業）,運輸交通,ハノイ市都市鉄道建設事業(5号線)準備調査(PPPインフラ事業),日本コンサルタンツ株式会社(旧社団法人海外鉄道技術協力協会)、京阪電気鉄道株式会社、株式会社野村総合研究所 共同企業体,東京都,-,ベトナム
,,,,,,,,
362,2010,協力準備調査（PPPインフラ事業）,運輸交通,南スマトラ鉄道(ラハット～クルタパティ路線)輸送力増強事業準備調査(PPPインフラ事業),双日株式会社、日本交通技術株式会社 共同企業体,東京都,-,インドネシア
,,,,,,,,
363,2011,協力準備調査（PPPインフラ事業）,運輸交通,ビエンホア‐ブンタウ高速道路事業準備調査(PPPインフラ事業),日本高速道路インターナショナル株式会社、中日本高速道路株式会社、双日株式会社、日本工営株式会社、株式会社コーエイ総合研究所 共同企業体,東京都,-,ベトナム
,,,,,,,,
364,2011,協力準備調査（PPPインフラ事業）,運輸交通,プネ市都市鉄道事業準備調査(PPPインフラ事業),株式会社オリエンタルコンサルタンツ、株式会社東芝、株式会社国際開発センター 共同企業体,東京都,-,インド
,,,,,,,,
365,2011,協力準備調査（PPPインフラ事業）,運輸交通,プノンペン新港経済特別区・関連施設建設事業準備調査(PPPインフラ事業),三井物産株式会社、株式会社オリエンタルコンサルタンツ、株式会社Ides 共同企業体,東京都,-,カンボジア
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
366,2011,協力準備調査（PPPインフラ事業）,運輸交通,ロンタイン新国際空港開発・旅客ターミナル運営事業準備調査(PPPインフラ事業),三菱商事株式会社、大成建設株式会社、成田国際空港株式会社、株式会社日本空港コンサルタンツ 共同企業体,東京都,-,ベトナム
,,,,,,,,
367,2013,協力準備調査（PPPインフラ事業）,運輸交通,チカラン複合都市新交通システム導入計画事業準備調査(PPPインフラ事業),三井物産株式会社、公益社団法人日本交通計画協会、株式会社三菱総合研究所、株式会社トステムズ、株式会社横浜シーサイドライン 共同企業体,東京都,-,インドネシア
,,,,,,,,
368,2013,協力準備調査（PPPインフラ事業）,運輸交通,ドレラ新国際空港建設事業準備調査(PPPインフラ事業),豊田通商株式会社、日本工営株式会社、中部国際空港株式会社、株式会社日建設計、日本空港ビルデング株式会社 共同企業体,東京都,-,インド
,,,,,,,,
,,,,,,,,
369,2013,協力準備調査（PPPインフラ事業）,運輸交通,ハロン-ハイフォン道路バックダン橋整備事業準備調査(PPPインフラ事業),株式会社エスイー、株式会社IHIインフラシステム、株式会社三菱総合研究所、一般社団法人国際建設技術協会 共同企業体,東京都,-,ベトナム
,,,,,,,,
,,,,,,,,
370,2013,協力準備調査（PPPインフラ事業）,運輸交通,ビエンチャン・ロジスティクスパーク開発事業準備調査(PPPインフラ事業),日本通運株式会社、株式会社日通総合研究所、日通不動産株式会社、株式会社国際開発センター 共同企業体,東京都,-,ラオス
,,,,,,,,
,,,,,,,,
371,2014,協力準備調査（PPPインフラ事業）,運輸交通,ダーダネルス海峡大橋・クナル～チャナッカレ自動車道事業準備調査(PPPインフラ事業),伊藤忠商事株式会社、株式会社IHI、株式会社IHIインフラシステム、日本高速道路インターナショナル株式会社、株式会社オリエンタルコンサルタンツ 共同企業体,東京都,-,トルコ
,,,,,,,,
,,,,,,,,
372,2014,協力準備調査（PPPインフラ事業）,運輸交通,パラオ国際空港改修運営事業準備調査(PPPインフラ事業),双日株式会社、日本空港ビルデング株式会社 共同企業体,東京都,-,パラオ
,,,,,,,,
,,,,,,,,
373,2014,協力準備調査（PPPインフラ事業）,運輸交通,ロンボク国際空港改修および拡張事業準備調査(PPPインフラ事業),日本空港ビルデング株式会社、双日株式会社、大成建設株式会社、株式会社梓設計、株式会社オリエンタルコンサルタンツ、パシフィックコンサルタンツ株式会社 共同企業体,東京都,-,インドネシア
,,,,,,,,
,,,,,,,,
374,2010,協力準備調査（PPPインフラ事業）,都市開発・地域開発,ドゥクアタス駅周辺地区をモデルとしたジャカルタ交通・都市構造整備事業準備調査(PPPインフラ事業),株式会社日建設計シビル、株式会社日建設計、株式会社日建設計総合研究所、株式会社オリエンタルコンサルタンツ、東急不動産株式会社 共同企業体,東京都,-,インドネシア
,,,,,,,,
375,2012,協力準備調査（PPPインフラ事業）,都市開発・地域開発,ジャカルタMRTルバックブルス駅前開発事業準備調査(PPPインフラ事業),日本工営株式会社、東急不動産株式会社 共同企業体,東京都,-,インドネシア
,,,,,,,,
,,,,,,,,
