通番号,公示年度,スキーム,分野,調査・事業名,提案法人名,代表法人所在地,外部人材（コンサルティング企業）,対象国
,,,,,,,,
,,,,,,,,
27,2014,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,多目的ダム管理や気候変動対策のデータ収集効率化に向けたリアルタイム監視システム(SESAMEシステム)普及・実証事業,株式会社みどり工学研究所,北海道,株式会社かいはつマネジメント・コンサルティング,インドネシア
,,,,,,,,
,,,,,,,,
,,,,,,,,
28,2019,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,道路斜面災害防除事業にかかる普及・実証・ビジネス化事業,株式会社ヤマコウ工業,北海道,【契約交渉中】,東ティモール
29,2019,普及・実証・ビジネス化事業（中小企業支援型）,防災・災害対策,道路斜面防災にかかる普及・実証・ビジネス化事業,サンゴ北海道株式会社,北海道,【契約交渉中】,キルギス
30,2015,普及・実証・ビジネス化事業（中小企業支援型）,その他,効果的な診断・改修による井戸の長寿命化普及・実証事業,株式会社レアックス,北海道,株式会社地球システム科学,ボリビア
,,,,,,,,
,,,,,,,,
31,2012,基礎調査,環境・エネルギー,寒冷地向け省エネ型廉価住宅建設事業調査(中小企業連携促進),株式会社高組、合同会社オフィス西田 共同企業体,北海道,(なし),モンゴル
32,2013,基礎調査,廃棄物処理,大型廃棄物の回収・再資源化サービス事業調査(中小企業連携促進),有限会社タナベ,北海道,株式会社パデコ、ブレインストーム・ワールドワイド株式会社,エチオピア
33,2012,基礎調査,職業訓練・産業育成,生産地から消費地への農漁業産品輸送改善事業調査(中小企業連携促進),苫小牧北倉港運株式会社、株式会社三好製作所、株式会社プロトム、株式会社かいはつマネジメント・コンサルティング 共同企業体,北海道,(なし),バングラデシュ
34,2018,基礎調査,福祉,日本式地域包括ケアシステム導入に向けた基礎調査,株式会社エムリンクホールディングス,北海道,株式会社コーエイリサーチ&コンサルティング,モンゴル
,,,,,,,,
35,2016,基礎調査,農業,アイスシェルターを用いた農畜産物低温貯蔵システムに関する基礎調査,株式会社土谷特殊農機具製作所,北海道,NTCインターナショナル株式会社,モンゴル
,,,,,,,,
,,,,,,,,
36,2016,基礎調査,農業,ウニ養殖及び生ウニ製品製造事業基礎調査,マルキ平川水産株式会社,北海道,株式会社アルメックVPI,ベトナム
,,,,,,,,
,,,,,,,,
37,2016,基礎調査,保健医療,飲み込み機能と運動機能の回復に向けたリハビリテーション事業に関する基礎調査,有限会社医療福祉科学研究所,北海道,カーボンフリーコンサルティング株式会社,タイ
,,,,,,,,
,,,,,,,,
38,2018,基礎調査,防災・災害対策,膨張性粘土によるインフラ施設被害への多孔質(ポーラス)コンクリート製品導入に関する基礎調査,北海道ポラコン株式会社,北海道,一般社団法人城西コンサルタントグループ,インドネシア
,,,,,,,,
39,2013,民間技術普及促進事業,農業,広域酪農地域向け農業機械普及促進事業,株式会社IHIスター,北海道,一般社団法人北海道総合研究調査会,キルギス
,,,,,,,,カザフスタン
40,2018,案件化調査（中小企業支援型）,農業,ニンニクの増産と黒ニンニク加工による生計向上のための案件化調査,株式会社たから,青森県,株式会社シーエスジェイ、International Technology Management Corporation,フィリピン
,,,,,,,,
